COMPANY,COMPANY_NAME,SP500_COMPANY_NAME,SYMBOLS,SNAPSHOT_DATE
34789532,Nvidia,NVIDIA Corp,NVDA,2026-06-02
89628087,Apple,Apple Inc,AAPL,2026-06-02
8046280,Microsoft,Microsoft Corp,MSFT,2026-06-02
20,Amazon,Amazon.com Inc,AMZN,2026-06-02
16932009,Google,Alphabet Inc,"GOOGL,GOOG",2026-06-02
40252853,Broadcom,Broadcom Inc,AVGO,2026-06-02
37356086,Tesla,Tesla Inc,TSLA,2026-06-02
36969497,Meta,Meta Platforms Inc,META,2026-06-02
33484636,Micron Technology,Micron Technology Inc,MU,2026-06-02
34481911,Berkshire Hathaway,Berkshire Hathaway Inc,BRK.B,2026-06-02
36704772,Walmart,Walmart Inc,WMT,2026-06-02
33553916,JPMorgan Chase,JPMorgan Chase & Co,JPM,2026-06-02
89628092,Oracle,Oracle Corp,ORCL,2026-06-02
38614427,ExxonMobil,Exxon Mobil Corp,XOM,2026-06-02
8792060,Visa,Visa Inc,V,2026-06-02
8482428,Intel,Intel Corp,INTC,2026-06-02
42,Johnson & Johnson,Johnson & Johnson,JNJ,2026-06-02
89628088,Cisco,Cisco Systems Inc,CSCO,2026-06-02
1136,Mastercard,Mastercard Inc,MA,2026-06-02
19799425,Costco,Costco Wholesale Corp,COST,2026-06-02
2552872,Caterpillar,Caterpillar Inc,CAT,2026-06-02
35102053,Lam Research,Lam Research Corp,LRCX,2026-06-02
36136059,Applied Materials,Applied Materials Inc,AMAT,2026-06-02
37924,AbbVie,AbbVie Inc,ABBV,2026-06-02
346991,Chevron,Chevron Corp,CVX,2026-06-02
4808322,Bank of America,Bank of America Corp,BAC,2026-06-02
42175308,Palantir Technologies,Palantir Technologies Inc,PLTR,2026-06-02
35242913,Netflix,Netflix Inc,NFLX,2026-06-02
99,UnitedHealth Group,UnitedHealth Group Inc,UNH,2026-06-02
39551416,Morgan Stanley,Morgan Stanley,MS,2026-06-02
469459,The Coca-Cola Company,Coca-Cola Co/The,KO,2026-06-02
6505993,Procter & Gamble,Procter & Gamble Co/The,PG,2026-06-02
37825458,Goldman Sachs,Goldman Sachs Group Inc/The,GS,2026-06-02
21230682,The Home Depot,Home Depot Inc/The,HD,2026-06-02
101036629,IBM,International Business Machines Corp,IBM,2026-06-02
34991124,Dell Technologies,Dell Technologies Inc,DELL,2026-06-02
