COMPANY,COMPANY_NAME,SP500_COMPANY_NAME,SYMBOLS,SNAPSHOT_DATE,MATCH_STATUS,NORMALIZED_NAME,SUGGESTED_NORMALIZED_NAMES
34789532,Nvidia,NVIDIA Corp,NVDA,2026-06-02,matched,nvidia,nvidia | unidia | nvisia
89628087,Apple,Apple Inc,AAPL,2026-06-02,matched,apple,apple | kappler | appleby
8046280,Microsoft,Microsoft Corp,MSFT,2026-06-02,matched,microsoft,microsoft | macrosoft | microf
20,Amazon,Amazon.com Inc,AMZN,2026-06-02,matched,amazon,amazon | sambazon | mayzon
16932009,Google,Alphabet Inc,"GOOGL,GOOG",2026-06-02,matched,google,google | ogle | gwookle
40252853,Broadcom,Broadcom Inc,AVGO,2026-06-02,matched,broadcom,broadcom | radcom | bradco
36969497,Meta,Meta Platforms Inc,META,2026-06-02,matched,meta,meta | metya | metta
37356086,Tesla,Tesla Inc,TSLA,2026-06-02,matched,tesla,tesla | tesa | tela
33484636,Micron Technology,Micron Technology Inc,MU,2026-06-02,matched,micron technology,micron technology | icon technology | mevion technology
34481911,Berkshire Hathaway,Berkshire Hathaway Inc,BRK.B,2026-06-02,matched,berkshire hathaway,berkshire hathaway
40425754,Lilly,Eli Lilly & Co,LLY,2026-06-02,matched,eli lilly,
36704772,Walmart,Walmart Inc,WMT,2026-06-02,matched,walmart,walmart | walmar | walmark
33553916,JPMorgan Chase,JPMorgan Chase & Co,JPM,2026-06-02,matched,jpmorgan chase,jpmorgan chase | j p morgan chase | morgan chaney
9175501,AMD,Advanced Micro Devices Inc,AMD,2026-06-02,matched,advanced micro devices,
8482428,Intel,Intel Corp,INTC,2026-06-02,matched,intel,intel | sintel | mintel
8792060,Visa,Visa Inc,V,2026-06-02,matched,visa,visa | viswa | visva
42,Johnson & Johnson,Johnson & Johnson,JNJ,2026-06-02,matched,johnson johnson,johnson johnson | johnson johns | john johnson
38614427,ExxonMobil,Exxon Mobil Corp,XOM,2026-06-02,matched,exxon mobil,exxonmobil | gen mobile
89628088,Cisco,Cisco Systems Inc,CSCO,2026-06-02,matched,cisco,cisco | isco | cisc
35102053,Lam Research,Lam Research Corp,LRCX,2026-06-02,matched,lam research,lam research | asm research | lambda research
36136059,Applied Materials,Applied Materials Inc,AMAT,2026-06-02,matched,applied materials,applied materials | allied materials | alpine materials
2552872,Caterpillar,Caterpillar Inc,CAT,2026-06-02,matched,caterpillar,caterpillar
89628092,Oracle,Oracle Corp,ORCL,2026-06-02,matched,oracle,oracle | oral | triacle
1136,Mastercard,Mastercard Inc,MA,2026-06-02,matched,mastercard,mastercard | master card | master care
19799425,Costco,Costco Wholesale Corp,COST,2026-06-02,matched,costco,costco | cosco | ostc
37924,AbbVie,AbbVie Inc,ABBV,2026-06-02,matched,abbvie,abbvie
4808322,Bank of America,Bank of America Corp,BAC,2026-06-02,matched,bank of america,bank of america | nkc of america | can of america
76540,GE Aerospace,General Electric Co,GE,2026-06-02,matched,general electric,
99,UnitedHealth Group,UnitedHealth Group Inc,UNH,2026-06-02,matched,unitedhealth,unitedhealth | unified health | quilted health
6505993,Procter & Gamble,Procter & Gamble Co/The,PG,2026-06-02,matched,procter gamble,procter gamble | proctor gamble | project able
39551416,Morgan Stanley,Morgan Stanley,MS,2026-06-02,matched,morgan stanley,morgan stanley | morgan chaney | morgan estates
469459,The Coca-Cola Company,Coca-Cola Co/The,KO,2026-06-02,matched,coca cola,coca cola | cocola | cota cota
21230682,The Home Depot,Home Depot Inc/The,HD,2026-06-02,matched,home depot,home depot | shoe dept | chrome deposit
346991,Chevron,Chevron Corp,CVX,2026-06-02,matched,chevron,chevron | db chevron | bay chevron
37825458,Goldman Sachs,Goldman Sachs Group Inc/The,GS,2026-06-02,matched,goldman sachs,goldman sachs | goldman pease | moldman usa
108337,KLA,KLA Corp,KLAC,2026-06-02,matched,kla,kla | kyla | kula
35242913,Netflix,Netflix Inc,NFLX,2026-06-02,matched,netflix,netflix | nextflex | netlogix
39209858,Merck & Co.,Merck & Co Inc,MRK,2026-06-02,matched,merck,merck | merrick | emerick
108231221,GE Vernova,GE Vernova Inc,GEV,2026-06-02,matched,ge vernova,ge vernova | verinova | veranova
3173468,SanDisk,Sandisk Corp/DE,SNDK,2026-06-02,matched,sandisk,sandisk | sandis | sandvik
34991124,Dell Technologies,Dell Technologies Inc,DELL,2026-06-02,matched,dell technologies,dell technologies | zella technologies | xsell technologies
1621665,Philip Morris International,Philip Morris International Inc,PM,2026-06-02,matched,philip morris international,philip morris international | allen morris international | norris international
37407004,Texas Instruments,Texas Instruments Inc,TXN,2026-06-02,matched,texas instruments,texas instruments | ta instruments | rtec instruments
42175308,Palantir Technologies,Palantir Technologies Inc,PLTR,2026-06-02,matched,palantir technologies,palantir technologies | planet technologies | avanti technologies
37615159,Wells Fargo,Wells Fargo & Co,WFC,2026-06-02,matched,wells fargo,wells fargo | wells auto
35344865,RTX,RTX Corp,RTX,2026-06-02,matched,rtx,rtx | rotex | rootx
101036629,IBM,International Business Machines Corp,IBM,2026-06-02,matched,ibm,ibm | ibml | ibmb
582288,Citigroup,Citigroup Inc,C,2026-06-02,matched,citigroup,citigroup | tigroup | stigroup
97918841,Marvell Technology,Marvell Technology,MRVL,2026-06-02,matched,marvell technology,marvell technology | marvel technologies | parcelpal technology
8821559,Linde,Linde PLC,LIN,2026-06-02,matched,linde,
2219962,American Express,American Express Co,AXP,2026-06-02,matched,american express,american express | all american express | ameritrans express
1176619,Palo Alto Networks,Palo Alto Networks Inc,PANW,2026-06-02,matched,palo alto networks,palo alto networks | palo alto investors | palo alto networks unit 42
2353333,Seagate Technology,Seagate Technology Holdings PLC,STX,2026-06-02,matched,seagate technology,seagate technology | seattle technology | tate technology
326005,Western Digital,Western Digital Corp,WDC,2026-06-02,matched,western digital,western digital | westerndigital | erste digital
33355578,Qualcomm,QUALCOMM Inc,QCOM,2026-06-02,matched,qualcomm,qualcomm | qualico | quadcom
38903403,Arista Networks,Arista Networks Inc,ANET,2026-06-02,matched,arista networks,arista networks | vast networks | iris networks
33276931,Analog Devices,Analog Devices Inc,ADI,2026-06-02,matched,analog devices,analog devices | ags devices | taylor devices
33104784,Amphenol,Amphenol Corp,APH,2026-06-02,matched,amphenol,amphenol | ampel
36267524,T-Mobile US,T-Mobile US Inc,TMUS,2026-06-02,matched,t mobile us,t mobile us | imobile us | mobilize us
994310,McDonald's,McDonald's Corp,MCD,2026-06-02,matched,mcdonald s,mcdonald s | mcdonald sons | ruiz mcdonald s
40596479,PepsiCo,PepsiCo Inc,PEP,2026-06-02,matched,pepsico,pepsico | pepco | peserico
37914916,Verizon Communications,Verizon Communications Inc,VZ,2026-06-02,matched,verizon communications,verizon communications | orion communications | vei communications
9156215,Amgen,Amgen Inc,AMGN,2026-06-02,matched,amgen,amgen | seamgen | m2gen
1799176,Thermo Fisher Scientific,Thermo Fisher Scientific Inc,TMO,2026-06-02,matched,thermo fisher scientific,thermo fisher scientific | helmer scientific | thermal scientific
36513137,NextEra Energy,NextEra Energy Inc,NEE,2026-06-02,matched,nextera energy,nextera energy | terra energy | era energy
89628133,TJX,TJX Cos Inc/The,TJX,2026-06-02,matched,tjx,tjx | tj
43327097,Corning,Corning Inc,GLW,2026-06-02,matched,corning,corning | conning | cobranding
89628099,Disney,Walt Disney Co/The,DIS,2026-06-02,matched,walt disney,
1629540,Boeing,Boeing Co/The,BA,2026-06-02,matched,boeing,boeing | being | boring
44765391,CrowdStrike,Crowdstrike Holdings Inc,CRWD,2026-06-02,matched,crowdstrike,crowdstrike | crowdstreet | crowdstar
3580599,John Deere,Deere & Co,DE,2026-06-02,matched,deere,
89628114,Charles Schwab,Charles Schwab Corp/The,SCHW,2026-06-02,matched,charles schwab,
2295140,Abbott Laboratories,Abbott Laboratories,ABT,2026-06-02,matched,abbott laboratories,abbott laboratories | abco laboratories | biotest laboratories
1539288,Eaton Corporation,Eaton Corp PLC,ETN,2026-06-02,matched,eaton,eaton | easton | eton
47255609,Welltower,Welltower Inc,WELL,2026-06-02,matched,welltower,welltower | wellpower | cell tower
41047343,Applovin,AppLovin Corp,APP,2026-06-02,matched,applovin,applovin | apploi | apple moving
36874975,AT&T,AT&T Inc,T,2026-06-02,matched,at t,at t | watt | attn
35343005,Gilead Sciences,Gilead Sciences Inc,GILD,2026-06-02,matched,gilead sciences,gilead sciences | ideal sciences | land science
38658795,Union Pacific Railroad,Union Pacific Corp,UNP,2026-06-02,matched,union pacific railroad,union pacific railroad | union pacific capital | union railroad
976,BlackRock,Blackrock Inc,BLK,2026-06-02,matched,blackrock,blackrock | blackbrick | black oak
2430029,Uber,Uber Technologies Inc,UBER,2026-06-02,matched,uber,uber | kuber | huber
1523411,Honeywell International,Honeywell International Inc,HON,2026-06-02,matched,honeywell international,honeywell international | honey wess international | jeremywell international
79037416,Intuitive,Intuitive Surgical Inc,ISRG,2026-06-02,matched,intuitive,intuitive | skintuitive | intuitivehr
918029,Booking.com,Booking Holdings Inc,BKNG,2026-06-02,matched,booking,booking | brookings | cooking
5227848,The Blackstone Group,Blackstone Inc,BX,2026-06-02,matched,blackstone,
101393367,Pfizer,Pfizer Inc,PFE,2026-06-02,matched,pfizer,pfizer | pier | spitzer
36926534,Danaher,Danaher Corp,DHR,2026-06-02,matched,danaher,
11240086,Prologis,Prologis Inc,PLD,2026-06-02,matched,prologis,prologis | pro logics | prologic
32772520,ConocoPhillips,ConocoPhillips,COP,2026-06-02,matched,conocophillips,conocophillips
99479706,Chubb,Chubb Ltd,CB,2026-06-02,matched,chubb,chubb | hubb | chubbies
37839757,CVS Health,CVS Health Corp,CVS,2026-06-02,matched,cvs health,cvs health | ocs health | canvas health
38522287,Progressive,Progressive Corp/The,PGR,2026-06-02,matched,progressive,
89628101,Salesforce,Salesforce Inc,CRM,2026-06-02,matched,salesforce,salesforce | sales source | valforce
38360945,Capital One,Capital One Financial Corp,COF,2026-06-02,matched,capital one,
37662275,Lowe's,Lowe's Cos Inc,LOW,2026-06-02,matched,lowe s,
41008236,Vertiv,Vertiv Holdings,VRT,2026-06-02,matched,vertiv,vertiv | veritiv | vertin
1742028,Parker Hannifin,Parker-Hannifin Corp,PH,2026-06-02,matched,parker hannifin,parker hannifin | parker landing
3691012,Vertex Pharmaceuticals,Vertex Pharmaceuticals Inc,VRTX,2026-06-02,matched,vertex pharmaceuticals,vertex pharmaceuticals | avet pharmaceuticals | vesta pharmaceuticals
38333389,Altria Group,Altria Group Inc,MO,2026-06-02,matched,altria,altria | altriva | atria
4855312,Stryker,Stryker Corp,SYK,2026-06-02,matched,stryker,
99459645,S&P Global,S&P Global Inc,SPGI,2026-06-02,matched,s p global,s p global | wsp global | vsp global
2730848,Starbucks,Starbucks Corp,SBUX,2026-06-02,matched,starbucks,starbucks | warbucks | struck
