,Benefit,Occupation,Year,AI Coefficient,Error,P-Value
0,wfh_wham,Architecture and Engineering Occupations,2019,0.36658538395216433,0.19462623133264248,0.06
1,wfh_wham,Architecture and Engineering Occupations,2021,0.5375976371369099,0.09482172235843563,0.0
2,wfh_wham,Architecture and Engineering Occupations,2022,0.09177741731971853,0.072382285967209,0.205
3,wfh_wham,Architecture and Engineering Occupations,2020,1.2434735890449764,0.11960975081564884,0.0
4,wfh_wham,Architecture and Engineering Occupations,2018,,,
5,wfh_wham,Architecture and Engineering Occupations,2023,0.06759039759986286,0.07937016739074365,0.394
6,wfh_wham,"Arts, Design, Entertainment, Sports, and Media Occupations",2019,0.20045683624547364,0.2370763777827723,0.398
7,wfh_wham,"Arts, Design, Entertainment, Sports, and Media Occupations",2021,0.9803979714043295,0.10998800721152595,0.0
8,wfh_wham,"Arts, Design, Entertainment, Sports, and Media Occupations",2022,0.8577730560768488,0.09568890604523407,0.0
9,wfh_wham,"Arts, Design, Entertainment, Sports, and Media Occupations",2020,0.5436017705246603,0.17700055710429818,0.002
10,wfh_wham,"Arts, Design, Entertainment, Sports, and Media Occupations",2018,,,
11,wfh_wham,"Arts, Design, Entertainment, Sports, and Media Occupations",2023,2.0522439863011512,0.09395550957530655,0.0
12,wfh_wham,Business and Financial Operations Occupations,2019,0.018626242412201992,0.08607730243791173,0.829
13,wfh_wham,Business and Financial Operations Occupations,2021,0.27664353374066825,0.04156827169113228,0.0
14,wfh_wham,Business and Financial Operations Occupations,2022,0.380125701405797,0.03439992492308123,0.0
15,wfh_wham,Business and Financial Operations Occupations,2020,-0.07405896222957965,0.06784005508942868,0.275
16,wfh_wham,Business and Financial Operations Occupations,2018,,,
17,wfh_wham,Business and Financial Operations Occupations,2023,0.4997230720539049,0.04310382544135425,0.0
18,wfh_wham,Community and Social Service Occupations,2019,0.5682971561019835,0.4367037023433883,0.193
19,wfh_wham,Community and Social Service Occupations,2021,0.70104200499898,0.3057184491554236,0.022
20,wfh_wham,Community and Social Service Occupations,2022,0.7339177586242467,0.2239385225217152,0.001
21,wfh_wham,Community and Social Service Occupations,2020,1.0925497594993254,0.3407445098403263,0.001
22,wfh_wham,Community and Social Service Occupations,2018,,,
23,wfh_wham,Community and Social Service Occupations,2023,0.7787305950488885,0.24838253824390816,0.002
24,wfh_wham,Computer and Mathematical Occupations,2019,-0.2782149737113313,0.04099285774490172,0.0
25,wfh_wham,Computer and Mathematical Occupations,2021,0.11336455893750984,0.01864484110740649,0.0
26,wfh_wham,Computer and Mathematical Occupations,2022,0.15371395716277486,0.015768347808444494,0.0
27,wfh_wham,Computer and Mathematical Occupations,2020,0.05334996742444578,0.02691916087856748,0.047
28,wfh_wham,Computer and Mathematical Occupations,2018,,,
29,wfh_wham,Computer and Mathematical Occupations,2023,0.16951344702462157,0.020656091956305928,0.0
30,wfh_wham,Educational Instruction and Library Occupations,2019,0.2352273175217914,0.3294464727300957,0.475
31,wfh_wham,Educational Instruction and Library Occupations,2021,0.9519797574646373,0.17580298006969935,0.0
32,wfh_wham,Educational Instruction and Library Occupations,2022,1.0876501948781947,0.14843103335694646,0.0
33,wfh_wham,Educational Instruction and Library Occupations,2020,0.5447823865595438,0.2612820055515322,0.037
34,wfh_wham,Educational Instruction and Library Occupations,2018,,,
35,wfh_wham,Educational Instruction and Library Occupations,2023,1.4284204894197277,0.1343542096307093,0.0
36,wfh_wham,Healthcare Practitioners and Technical Occupations,2019,-1.0203333277864752,0.5906110569305051,0.084
37,wfh_wham,Healthcare Practitioners and Technical Occupations,2021,1.80006166796276,0.15287750526438365,0.0
38,wfh_wham,Healthcare Practitioners and Technical Occupations,2022,1.4181409115396673,0.17254661859802306,0.0
39,wfh_wham,Healthcare Practitioners and Technical Occupations,2020,0.149456872347562,0.34791850052691015,0.668
40,wfh_wham,Healthcare Practitioners and Technical Occupations,2018,,,
41,wfh_wham,Healthcare Practitioners and Technical Occupations,2023,1.8866313330753546,0.1714166511549896,0.0
42,wfh_wham,Legal Occupations,2019,-0.839608174529042,0.7222607336378767,0.245
43,wfh_wham,Legal Occupations,2021,-0.026627724963048733,0.24911665476774872,0.915
44,wfh_wham,Legal Occupations,2022,0.2378529640681964,0.220881994631673,0.282
45,wfh_wham,Legal Occupations,2020,-0.026712222860192644,0.41569513838857913,0.949
46,wfh_wham,Legal Occupations,2018,,,
47,wfh_wham,Legal Occupations,2023,0.10074919666977272,0.23139366969429467,0.663
48,wfh_wham,"Life, Physical, and Social Science Occupations",2019,-0.03648785298019474,0.26289958425584864,0.89
49,wfh_wham,"Life, Physical, and Social Science Occupations",2021,0.0985487399918847,0.1294093492356415,0.446
50,wfh_wham,"Life, Physical, and Social Science Occupations",2022,0.610419975090345,0.08954379291219704,0.0
51,wfh_wham,"Life, Physical, and Social Science Occupations",2020,0.31837963244955625,0.17986183830016964,0.077
52,wfh_wham,"Life, Physical, and Social Science Occupations",2018,,,
53,wfh_wham,"Life, Physical, and Social Science Occupations",2023,0.37369974715454646,0.11199821181990065,0.001
54,wfh_wham,Management Occupations,2019,-0.09770278457548699,0.09648138307164926,0.311
55,wfh_wham,Management Occupations,2021,0.5997028357564349,0.04069741600010908,0.0
56,wfh_wham,Management Occupations,2022,0.6797251659344247,0.033027209035887205,0.0
57,wfh_wham,Management Occupations,2020,0.2546437021714358,0.06790734558113141,0.0
58,wfh_wham,Management Occupations,2018,,,
59,wfh_wham,Management Occupations,2023,0.6822023228359898,0.04086149829373399,0.0
60,wfh_wham,Office and Administrative Support Occupations,2019,0.0018201377977381022,0.2305276678821157,0.994
61,wfh_wham,Office and Administrative Support Occupations,2021,0.9503187219214237,0.08481554592059494,0.0
62,wfh_wham,Office and Administrative Support Occupations,2022,1.1038471352325996,0.07229306626263751,0.0
63,wfh_wham,Office and Administrative Support Occupations,2020,0.4628178836252555,0.14939866849975572,0.002
64,wfh_wham,Office and Administrative Support Occupations,2018,,,
65,wfh_wham,Office and Administrative Support Occupations,2023,1.39697545804552,0.08273655621391637,0.0
66,wfh_wham,Personal Care and Service Occupations,2019,-21.48919974308898,71519.82965417221,1.0
67,wfh_wham,Personal Care and Service Occupations,2021,1.6213719603066876,0.7702383177536255,0.035
68,wfh_wham,Personal Care and Service Occupations,2022,2.3697519687545703,0.39673621453955377,0.0
69,wfh_wham,Personal Care and Service Occupations,2020,1.9731720610321044,0.7757218971860643,0.011
70,wfh_wham,Personal Care and Service Occupations,2018,,,
