SOC_2021_2_NAME,YEAR,EDU_ASSISTANCE_difference,PAID_LEAVE_difference,HEALTH_WELLBEING_difference,PARENTAL_LEAVE_difference,CULTURE_difference,REMOTE_KW_difference
Architecture and Engineering Occupations,2018,-8,-11,2,3,21,2
Architecture and Engineering Occupations,2019,-10,-25,2,4,23,2
Architecture and Engineering Occupations,2020,-3,-39,-1,3,56,39
Architecture and Engineering Occupations,2021,-17,-54,-8,15,95,40
Architecture and Engineering Occupations,2022,-13,-79,-2,32,176,32
Architecture and Engineering Occupations,2023,19,-37,-1,18,89,23
Architecture and Engineering Occupations,2024,-4,-67,-10,20,18,-18
"Arts, Design, Entertainment, Sports, and Media Occupations",2018,-2,-13,-2,-1,6,6
"Arts, Design, Entertainment, Sports, and Media Occupations",2019,-7,4,26,2,7,5
"Arts, Design, Entertainment, Sports, and Media Occupations",2020,4,3,4,4,18,14
"Arts, Design, Entertainment, Sports, and Media Occupations",2021,0,-5,3,4,21,35
"Arts, Design, Entertainment, Sports, and Media Occupations",2022,2,-10,17,7,30,69
"Arts, Design, Entertainment, Sports, and Media Occupations",2023,8,-7,-15,9,34,145
"Arts, Design, Entertainment, Sports, and Media Occupations",2024,-5,-21,-25,-1,10,171
Business and Financial Operations Occupations,2018,13,-2,-4,11,82,-20
Business and Financial Operations Occupations,2019,5,-45,-6,12,79,-9
Business and Financial Operations Occupations,2020,-20,-142,-18,-4,97,4
Business and Financial Operations Occupations,2021,15,-145,24,84,248,56
Business and Financial Operations Occupations,2022,33,-114,4,78,281,114
Business and Financial Operations Occupations,2023,28,-85,28,68,210,153
Business and Financial Operations Occupations,2024,-49,-139,-10,21,177,132
Community and Social Service Occupations,2018,5,3,1,0,1,2
Community and Social Service Occupations,2019,-1,-1,0,-2,6,1
Community and Social Service Occupations,2020,0,-3,-2,-1,4,3
Community and Social Service Occupations,2021,-1,-6,7,-3,10,2
Community and Social Service Occupations,2022,1,-5,1,1,9,13
Community and Social Service Occupations,2023,-4,5,0,7,19,9
Community and Social Service Occupations,2024,-1,6,-2,11,30,10
Computer and Mathematical Occupations,2018,-19,63,40,53,290,-177
Computer and Mathematical Occupations,2019,-35,-130,16,78,338,-133
Computer and Mathematical Occupations,2020,-26,-184,-16,90,517,-60
Computer and Mathematical Occupations,2021,-23,-152,45,223,934,44
Computer and Mathematical Occupations,2022,43,72,83,474,1285,531
Computer and Mathematical Occupations,2023,229,278,119,427,696,328
Computer and Mathematical Occupations,2024,-60,-453,48,104,266,2
Educational Instruction and Library Occupations,2018,2,-2,1,2,14,-6
Educational Instruction and Library Occupations,2019,-7,-11,-4,0,25,-2
Educational Instruction and Library Occupations,2020,-9,-12,-6,0,23,10
Educational Instruction and Library Occupations,2021,-11,-31,5,2,71,21
Educational Instruction and Library Occupations,2022,-22,-39,-12,-3,71,14
Educational Instruction and Library Occupations,2023,-12,-27,-8,-1,80,36
Educational Instruction and Library Occupations,2024,-15,-23,-4,4,62,43
Healthcare Practitioners and Technical Occupations,2018,-5,-3,-4,5,0,-1
Healthcare Practitioners and Technical Occupations,2019,0,4,4,2,-8,-1
Healthcare Practitioners and Technical Occupations,2020,-9,-8,-4,0,13,0
Healthcare Practitioners and Technical Occupations,2021,-10,-15,3,-3,17,19
Healthcare Practitioners and Technical Occupations,2022,-11,-13,3,-3,49,15
Healthcare Practitioners and Technical Occupations,2023,-8,-1,3,1,22,13
Healthcare Practitioners and Technical Occupations,2024,-28,-30,-3,-8,32,31
Legal Occupations,2018,0,-3,0,0,1,-1
Legal Occupations,2019,1,-7,-1,1,3,-1
Legal Occupations,2020,1,-11,-3,0,1,-2
Legal Occupations,2021,1,-11,0,-2,11,-3
Legal Occupations,2022,2,-8,0,3,17,9
Legal Occupations,2023,10,-10,0,5,12,1
Legal Occupations,2024,7,-17,8,7,20,13
"Life, Physical, and Social Science Occupations",2018,-1,-14,-2,-1,5,-5
"Life, Physical, and Social Science Occupations",2019,-5,-32,-5,1,15,-6
"Life, Physical, and Social Science Occupations",2020,7,-18,-1,6,18,4
"Life, Physical, and Social Science Occupations",2021,6,-31,15,4,54,8
"Life, Physical, and Social Science Occupations",2022,-15,-68,-16,20,78,46
"Life, Physical, and Social Science Occupations",2023,11,-24,6,-2,52,16
"Life, Physical, and Social Science Occupations",2024,-11,-23,0,11,52,26
Management Occupations,2018,-32,-35,-22,0,51,20
Management Occupations,2019,-38,-161,-20,13,123,16
Management Occupations,2020,-66,-212,-9,9,217,61
Management Occupations,2021,-73,-342,-9,57,491,260
Management Occupations,2022,-123,-410,25,51,653,422
Management Occupations,2023,39,-151,20,120,389,274
Management Occupations,2024,37,-199,-10,117,336,270
Office and Administrative Support Occupations,2018,0,12,1,2,13,15
Office and Administrative Support Occupations,2019,13,-6,-4,0,23,13
