SOC_2021_2_NAME,YEAR,AI Demand,MEAN SALARY,AI Demand % Change,PRIOR YEAR % CHANGE,LOG_SALARY_ai,SALARY_ai,MEDIAN_LOG_SALARY_ai,MEDIAN_SALARY_ai,LOG_SALARY_non_ai,SALARY_non_ai,MEDIAN_LOG_SALARY_non_ai,MEDIAN_SALARY_non_ai,Salary (Log) Premium,SALARY_PREMIUM,job_count,ai_role_count,Prevalence: Tuition Assistance,Prevalence: Tuition Assistance (AI),Prevalence: Tuition Assistance (Non-AI),Prevalence: Paid Leave,Prevalence: Paid Leave (AI),Prevalence: Paid Leave (Non-AI),Prevalence: Health and Wellbeing,Prevalence: Health and Wellbeing (AI),Prevalence: Health and Wellbeing (Non-AI),Prevalence: Parental Leave,Prevalence: Parental Leave (AI),Prevalence: Parental Leave (Non-AI),Prevalence: Workplace Culture,Prevalence: Workplace Culture (AI),Prevalence: Workplace Culture (Non-AI),Prevalence: Remote Work,Prevalence: Remote Work (AI),Prevalence: Remote Work (Non-AI),Prevalence: Remote Keywords,Prevalence: Remote Keywords (AI),Prevalence: Remote Keywords (Non-AI),Log Job Count
Architecture and Engineering Occupations,2018,1.7616215870579959,72795.24621804904,,,11.402915673319914,101224.26190476191,11.407564949312402,90000.0,11.091694393621566,72480.36787974683,11.156250521031495,70000.0,102.80589483133721,139.65748914617052,31278,551,1061,16,1045,2627,28,2599,461,9,452,114,3,111,1525,53,1472,0.0,0.0,0.0,594,11,583,10.35067025399616
Architecture and Engineering Occupations,2019,1.858962637898458,74853.37928388747,5.52565043228308,,11.46026782437202,106851.375,11.511673899861169,100000.0,11.11776268530026,74589.34218669418,11.18567676517613,72090.5,103.08070201502515,143.25287214969026,32814,610,1463,17,1446,3836,48,3788,986,18,968,223,7,216,1826,58,1768,35.0,1.0,34.0,738,18,720,10.398610532574828
Architecture and Engineering Occupations,2020,2.052310778489314,72970.32677459526,10.40086210712845,5.52565043228308,11.484404660780111,105972.33333333333,11.5216869706388,100880.0,11.078527734054655,72646.61493963783,11.115711184695773,67219.0,103.66363596742028,145.87373881272495,25922,532,1319,17,1302,4448,42,4406,728,9,719,339,9,330,1710,85,1625,71.0,3.0,68.0,1014,58,956,10.16284730798332
Architecture and Engineering Occupations,2021,2.238034421942468,74053.99601455554,9.049489258632804,10.40086210712845,11.514128654965234,108507.43209876544,11.624913966918276,111850.0,11.102734715223509,73563.53409490334,11.121363262031055,67600.0,103.70533882231412,147.5016574907636,32886,736,2386,45,2341,6813,106,6707,1261,27,1234,863,41,822,3453,175,3278,158.0,4.0,154.0,2264,87,2177,10.400802314274172
Architecture and Engineering Occupations,2022,2.4476083826587747,83386.8067348166,9.36419738059302,9.049489258632804,11.687749904750357,124993.61764705883,11.695247021764184,120000.0,11.22562856131578,82694.97077882382,11.258033215341438,77500.0,104.11666340918384,151.15020474626817,43757,1071,3891,85,3806,9934,164,9770,2033,47,1986,1817,66,1751,6801,331,6470,306.0,4.0,302.0,4676,161,4515,10.686406878987126
Architecture and Engineering Occupations,2023,2.0857343640196766,95110.42964384018,-14.784800591588244,9.36419738059302,11.697372827768795,129347.39926739926,11.72399643505017,123500.0,11.36936850122922,94312.65798907477,11.407564949312402,90000.0,102.88498280712876,137.14744343477514,35575,742,4300,98,4202,11052,172,10880,2243,43,2200,2535,73,2462,5988,220,5768,295.0,6.0,289.0,4465,127,4338,10.479398422958052
Architecture and Engineering Occupations,2024,3.8109970468288568,96428.42141664679,82.71727754843205,-14.784800591588244,11.7221166676415,131753.87096774194,11.691223926667833,119518.5,11.36946535070585,94788.6575992014,11.390757830996021,88500.0,103.10174054854528,138.99750698532097,21333,813,2528,85,2443,7392,217,7175,1294,47,1247,2127,87,2040,4218,176,4042,5.0,0.0,5.0,2425,86,2339,9.968010448551627
"Arts, Design, Entertainment, Sports, and Media Occupations",2018,0.771692745376956,49646.42026496565,,,11.076073888972989,72209.29411764706,11.041320554357519,62400.0,10.66920146448775,49551.92190194629,10.584562151861805,39520.0,103.81352274431694,145.7245074379463,28120,217,651,2,649,1997,6,1991,332,2,330,159,0,159,1081,15,1066,1.0,0.0,1.0,794,9,785,10.244236345924602
"Arts, Design, Entertainment, Sports, and Media Occupations",2019,0.734441437959026,49923.23643724696,-4.827220113328079,,11.107514885031392,74835.28571428571,11.195471234184778,72800.0,10.680026403202401,49816.88290302907,10.591421166043187,39792.0,104.00269124522772,150.2207311122941,31044,228,671,1,670,2763,23,2740,619,29,590,335,8,327,1527,19,1508,72.0,1.0,71.0,1094,11,1083,10.34316083197403
"Arts, Design, Entertainment, Sports, and Media Occupations",2020,0.7041551798585046,45927.87064676617,-4.123713142423613,-4.827220113328079,10.905773610685667,59711.48,10.887436932884098,53500.0,10.61248873221174,45870.48676103247,10.487935316172733,35880.0,102.76358247225959,130.1740709905124,30107,212,649,6,643,3238,23,3215,477,7,470,385,5,380,1194,29,1165,113.0,3.0,110.0,2889,34,2855,10.312512981839049
