SOC_2021_2_NAME,YEAR,AI Demand,ai_role_count,job_count
Personal Care and Service Occupations,2018,0.03,5,19845
Personal Care and Service Occupations,2019,0.04,8,19833
Transportation and Material Moving Occupations,2019,0.04,31,71472
Transportation and Material Moving Occupations,2020,0.04,47,105958
Transportation and Material Moving Occupations,2018,0.06,49,86162
Transportation and Material Moving Occupations,2021,0.06,79,129816
Transportation and Material Moving Occupations,2023,0.07,61,84925
Personal Care and Service Occupations,2020,0.07,14,19110
Transportation and Material Moving Occupations,2022,0.08,88,104718
Healthcare Practitioners and Technical Occupations,2019,0.09,130,137363
