Occupation,AI Demand (%),AI Role Count,Total Jobs,Median AI Salary ($),Median Non-AI Salary ($),Salary Premium (%)
Architecture and Engineering Occupations,3.81,813,21333,119518.5,88500.0,139.0
"Arts, Design, Entertainment, Sports, and Media Occupations",2.48,513,20682,77750.0,47570.0,137.98
Business and Financial Operations Occupations,3.11,1893,60835,119658.0,77500.0,142.14
Community and Social Service Occupations,0.4,91,22834,86000.0,57000.0,139.54
Computer and Mathematical Occupations,15.45,9038,58496,147550.0,114507.0,130.79
Educational Instruction and Library Occupations,1.04,324,31079,85000.0,49920.0,154.73
Healthcare Practitioners and Technical Occupations,0.24,364,148813,98800.0,97760.0,112.68
Legal Occupations,1.29,92,7144,187357.5,85000.0,171.3
"Life, Physical, and Social Science Occupations",2.28,318,13960,104000.0,80080.0,130.44
Management Occupations,2.31,2275,98282,156450.0,85000.0,158.76
Office and Administrative Support Occupations,0.6,518,86103,65863.0,42640.0,180.86
Personal Care and Service Occupations,0.13,17,12984,59280.0,41600.0,115.89
Production Occupations,0.47,150,32056,86144.0,44000.0,202.4
Sales and Related Occupations,0.58,537,92329,126469.5,45760.0,202.5
Transportation and Material Moving Occupations,0.13,68,50806,45240.0,42640.0,131.26
