Occupation,Year,AI Demand (%),Total Jobs,AI Jobs,Tuition Assistance AI (%),Tuition Assistance Non-AI (%),Tuition Assistance Gap (pp),Paid Leave AI (%),Paid Leave Non-AI (%),Paid Leave Gap (pp),Health & Wellbeing AI (%),Health & Wellbeing Non-AI (%),Health & Wellbeing Gap (pp),Parental Leave AI (%),Parental Leave Non-AI (%),Parental Leave Gap (pp),Workplace Culture AI (%),Workplace Culture Non-AI (%),Workplace Culture Gap (pp),Remote Work AI (%),Remote Work Non-AI (%),Remote Work Gap (pp)
Computer and Mathematical Occupations,2024,15.45,58496,9038,9.37,9.72,-0.34,24.34,28.52,-4.18,7.27,6.33,0.93,12.87,11.26,1.61,20.67,17.59,3.08,20.35,20.57,-0.23
Computer and Mathematical Occupations,2022,9.67,156448,15130,7.16,6.57,0.59,19.83,19.1,0.73,5.41,4.41,0.99,8.34,5.05,3.29,26.13,17.16,8.97,27.4,23.75,3.64
Computer and Mathematical Occupations,2021,9.19,136909,12576,4.55,4.74,-0.19,14.11,15.81,-1.71,3.94,3.34,0.6,4.91,3.2,1.7,19.8,11.83,7.97,19.61,19.01,0.6
Computer and Mathematical Occupations,2023,8.95,97575,8736,12.34,9.3,3.04,28.12,24.55,3.57,7.57,5.75,1.81,13.39,8.1,5.29,24.34,16.46,7.88,26.93,23.44,3.49
Computer and Mathematical Occupations,2020,7.9,121663,9606,2.7,3.08,-0.39,8.27,10.11,-1.85,1.86,2.04,-0.18,2.1,1.38,0.72,11.49,6.28,5.21,9.94,10.42,-0.48
Computer and Mathematical Occupations,2019,7.34,145215,10652,2.55,2.82,-0.26,8.23,9.21,-0.98,2.08,1.85,0.23,1.53,0.87,0.66,9.22,6.01,3.21,3.58,4.98,-1.41
Computer and Mathematical Occupations,2018,6.38,137333,8764,2.69,2.74,-0.05,7.57,6.99,0.58,1.6,1.25,0.35,1.08,0.5,0.59,8.72,5.85,2.87,2.8,4.71,-1.92
Architecture and Engineering Occupations,2024,3.81,21333,813,10.46,11.91,-1.45,26.69,34.97,-8.27,5.78,6.08,-0.3,10.7,9.94,0.76,21.65,19.7,1.95,10.58,11.4,-0.82
Business and Financial Operations Occupations,2024,3.11,60835,1893,9.09,10.88,-1.8,28.58,36.28,-7.7,8.29,7.8,0.5,10.41,8.75,1.65,25.78,17.12,8.66,23.93,18.84,5.09
"Arts, Design, Entertainment, Sports, and Media Occupations",2024,2.48,20682,513,4.09,5.69,-1.59,17.35,22.9,-5.55,3.9,7.73,-3.84,6.24,6.76,-0.53,12.67,11.4,1.27,40.35,8.2,32.15
Architecture and Engineering Occupations,2022,2.45,43757,1071,7.94,8.92,-0.98,15.31,22.89,-7.58,4.39,4.65,-0.26,6.16,4.1,2.06,30.91,15.16,15.75,15.03,10.58,4.46
"Life, Physical, and Social Science Occupations",2022,2.38,23213,553,8.14,8.64,-0.5,14.29,24.27,-9.98,4.16,5.77,-1.61,8.5,3.53,4.97,27.49,13.86,13.63,17.0,9.96,7.04
