AI_Demand_Pct,Tuition Assistance_Overall_Rate,Paid Leave_Overall_Rate,Health & Wellbeing_Overall_Rate,Parental Leave_Overall_Rate,Workplace Culture_Overall_Rate,Remote Work_Overall_Rate,Tuition Assistance_AI_Rate,Paid Leave_AI_Rate,Health & Wellbeing_AI_Rate,Parental Leave_AI_Rate,Workplace Culture_AI_Rate,Remote Work_AI_Rate
1.0,0.0,-0.1,0.1,0.29,0.39,0.58,0.11,0.03,0.14,0.24,0.07,0.22
0.0,1.0,0.74,0.77,0.73,0.72,0.21,0.55,0.65,0.41,0.59,0.65,0.39
-0.1,0.74,1.0,0.84,0.83,0.63,0.36,0.58,0.8,0.53,0.74,0.67,0.54
0.1,0.77,0.84,1.0,0.85,0.74,0.42,0.57,0.71,0.51,0.71,0.65,0.56
0.29,0.73,0.83,0.85,1.0,0.85,0.63,0.58,0.81,0.58,0.88,0.64,0.67
0.39,0.72,0.63,0.74,0.85,1.0,0.71,0.51,0.66,0.54,0.79,0.74,0.7
0.58,0.21,0.36,0.42,0.63,0.71,1.0,0.34,0.45,0.49,0.64,0.47,0.69
0.11,0.55,0.58,0.57,0.58,0.51,0.34,1.0,0.61,0.48,0.63,0.35,0.37
0.03,0.65,0.8,0.71,0.81,0.66,0.45,0.61,1.0,0.59,0.78,0.55,0.58
0.14,0.41,0.53,0.51,0.58,0.54,0.49,0.48,0.59,1.0,0.51,0.42,0.46
0.24,0.59,0.74,0.71,0.88,0.79,0.64,0.63,0.78,0.51,1.0,0.61,0.71
0.07,0.65,0.67,0.65,0.64,0.74,0.47,0.35,0.55,0.42,0.61,1.0,0.54
0.22,0.39,0.54,0.56,0.67,0.7,0.69,0.37,0.58,0.46,0.71,0.54,1.0
