SOC_2021_2_NAME,YEAR,AI Demand,ai_role_count,job_count
Computer and Mathematical Occupations,2024,15.45,9038,58496
Computer and Mathematical Occupations,2022,9.67,15130,156448
Computer and Mathematical Occupations,2021,9.19,12576,136909
Computer and Mathematical Occupations,2023,8.95,8736,97575
Computer and Mathematical Occupations,2020,7.9,9606,121663
Computer and Mathematical Occupations,2019,7.34,10652,145215
Computer and Mathematical Occupations,2018,6.38,8764,137333
Architecture and Engineering Occupations,2024,3.81,813,21333
Business and Financial Operations Occupations,2024,3.11,1893,60835
"Arts, Design, Entertainment, Sports, and Media Occupations",2024,2.48,513,20682
