Occupation,AI Demand (%),AI Role Count,Total Job Count,Median AI Salary ($)
Computer and Mathematical Occupations,15.45,9038,58496,147550.0
Architecture and Engineering Occupations,3.81,813,21333,119518.0
Business and Financial Operations Occupations,3.11,1893,60835,119658.0
"Arts, Design, Entertainment, Sports, and Media Occupations",2.48,513,20682,77750.0
Management Occupations,2.31,2275,98282,156450.0
"Life, Physical, and Social Science Occupations",2.28,318,13960,104000.0
Legal Occupations,1.29,92,7144,187358.0
Educational Instruction and Library Occupations,1.04,324,31079,85000.0
Office and Administrative Support Occupations,0.6,518,86103,65863.0
Sales and Related Occupations,0.58,537,92329,126470.0
