threshold,benefit,benefit_label,coef,se,pvalue,nobs,converged,stars,coef_str,se_str
1+ AI skills,EDU_ASSISTANCE,Tuition Assistance,-0.01282262863099681,0.09470344844887142,0.892297446454817,99860,True,,-0.013,(0.095)
1+ AI skills,PAID LEAVE,Paid Leave,-0.03311543221867864,0.06445868592690261,0.6074291508316593,99860,True,,-0.033,(0.064)
1+ AI skills,HEALTH_WELLBEING,Health and Wellbeing,0.019423547445371905,0.11908834177195972,0.8704381203149077,99860,True,,0.019,(0.119)
1+ AI skills,PARENTAL_LEAVE,Parental Leave,0.34491726630235575,0.09689207484594782,0.0003711248206114029,89661,True,***,0.345***,(0.097)
1+ AI skills,CULTURE,Workplace Culture,0.3676020566863744,0.07009990615316943,1.5715470263056048e-07,99860,True,***,0.368***,(0.070)
1+ AI skills,REMOTE_KW,Remote Work,0.5335445175987843,0.07610355218504405,2.3700970223647896e-12,99860,True,***,0.534***,(0.076)
2+ AI skills,EDU_ASSISTANCE,Tuition Assistance,0.023593296653050544,0.14805013424680644,0.8733851064434536,99860,True,,0.024,(0.148)
2+ AI skills,PAID LEAVE,Paid Leave,-0.09077060621018805,0.10502690787490353,0.38744481272790743,99860,True,,-0.091,(0.105)
2+ AI skills,HEALTH_WELLBEING,Health and Wellbeing,0.035906300503358655,0.18450271459294446,0.845697309705644,99860,True,,0.036,(0.185)
2+ AI skills,PARENTAL_LEAVE,Parental Leave,0.36578484281905704,0.144164528866337,0.01117196264597558,89661,True,**,0.366**,(0.144)
2+ AI skills,CULTURE,Workplace Culture,0.4059120780185963,0.10741111501349,0.00015742720325580075,99860,True,***,0.406***,(0.107)
2+ AI skills,REMOTE_KW,Remote Work,0.4596737977072434,0.11727289718863289,8.866169952151687e-05,99860,True,***,0.460***,(0.117)
3+ AI skills,EDU_ASSISTANCE,Tuition Assistance,0.045433100608911495,0.2129543048053499,0.8310565416999496,99860,True,,0.045,(0.213)
3+ AI skills,PAID LEAVE,Paid Leave,-0.16280032345515935,0.1567781711043073,0.2990783171309839,99860,True,,-0.163,(0.157)
3+ AI skills,HEALTH_WELLBEING,Health and Wellbeing,0.07922809707518565,0.2641801044805404,0.7642520375655626,99860,True,,0.079,(0.264)
3+ AI skills,PARENTAL_LEAVE,Parental Leave,0.3289053315701909,0.20871497412627854,0.1150583445355777,89661,True,,0.329,(0.209)
3+ AI skills,CULTURE,Workplace Culture,0.44765964248660134,0.1547375285885955,0.0038155011071949073,99860,True,***,0.448***,(0.155)
3+ AI skills,REMOTE_KW,Remote Work,0.21644279558177812,0.1824218754935891,0.23542654511483252,99860,True,,0.216,(0.182)
