firm_category,period,wage_postings,ai_wage_postings,mean_log_salary_ai,mean_log_salary_non_ai,ai_role_beta,ai_role_se,lower_ci,upper_ci,status
SMEs,2018,31610,174,11.202401093772918,10.65957072890113,0.28192825351386447,0.03510297670948601,0.21312641916327188,0.35073008786445703,ok
SMEs,2019,63656,287,11.107024889079383,10.63267046751095,0.2386493278113913,0.0287715884848726,0.18225701438104103,0.2950416412417416,ok
SMEs,2020,77723,331,11.051667355366357,10.619684992260717,0.21108834569325235,0.02327893906225436,0.1654616251312338,0.2567150662552709,ok
SMEs,2021,114252,494,11.120304023900689,10.684090849462011,0.18513274821292808,0.020003933138632808,0.14592503926120778,0.22434045716464837,ok
SMEs,2022,116758,582,11.221097177345401,10.763229732556798,0.21924575695508447,0.016835402270031195,0.18624836850582333,0.2522431454043456,ok
SMEs,2023,98753,602,11.34637259469226,10.833343080385855,0.24444190493170564,0.017248832045874588,0.21063419412179146,0.2782496157416198,ok
SMEs,2024,101709,754,11.475404999207685,10.881456507485803,0.30034441450435007,0.016396720433532984,0.2682068424546254,0.33248198655407474,ok
SMEs,2025,111058,1376,11.51844448497535,10.902746497133796,0.3343589558372339,0.012882884402515421,0.3091085024083037,0.35960940926616414,ok
Large firms,2018,97799,619,11.214127726696164,10.788296864845597,0.1876439447821956,0.01768228224838187,0.15298667157536713,0.22230121798902405,ok
Large firms,2019,151638,905,11.167171834014168,10.736316909782019,0.16170278302966032,0.014117405883081044,0.13403266749882148,0.18937289856049916,ok
Large firms,2020,154158,783,11.184629023670766,10.731174924352146,0.16407741218461952,0.014837111655019247,0.1349966733407818,0.19315815102845724,ok
Large firms,2021,228563,1593,11.26876446016461,10.770252951313273,0.18837668842472374,0.010276443427064711,0.1682348593076769,0.2085185175417706,ok
Large firms,2022,289323,2468,11.392444236026812,10.860158514342038,0.18880321775499764,0.008182672723940385,0.17276517921607448,0.2048412562939208,ok
Large firms,2023,324058,3461,11.576871334679343,10.983239873307772,0.21677009514373294,0.00723853036444584,0.2025825756294191,0.2309576146580468,ok
Large firms,2024,338983,5007,11.673631028768328,11.046702676336459,0.22780547570946164,0.006014041600256305,0.21601795417295927,0.239592997245964,ok
Large firms,2025,387653,10181,11.746956890125599,11.093804953833631,0.24793189185924738,0.004384661000192517,0.23933795629887006,0.2565258274196247,ok
S&P 500 firms,2018,7810,137,11.636139699452158,10.759778090450723,0.21320380464060762,0.03839811637867699,0.1379434965384007,0.2884641127428145,ok
S&P 500 firms,2019,13532,143,11.557023254389723,10.724972660193314,0.20341770780903856,0.03167012566293458,0.14134426150968676,0.26549115410839036,ok
S&P 500 firms,2020,24545,103,11.499206631410043,10.557514215504291,0.2353319264652032,0.03590866841326749,0.16495093637519892,0.3057129165552075,ok
S&P 500 firms,2021,30488,456,11.668318580306572,10.777749658475955,0.18025496470679075,0.018559208701388767,0.14387891565206878,0.21663101376151273,ok
S&P 500 firms,2022,34777,952,11.782866561790732,11.059975882096028,0.19366121529039218,0.012862467618639144,0.16845077875785947,0.2188716518229249,ok
S&P 500 firms,2023,45042,1621,11.926079391764176,11.213615949119445,0.20437305590004612,0.009626667704034838,0.18550478720013783,0.2232413245999544,ok
S&P 500 firms,2024,60663,3103,12.010164635300738,11.222700205092128,0.1917532778848581,0.007038640306602788,0.17795754288391663,0.20554901288579958,ok
S&P 500 firms,2025,74535,5530,12.048655111029927,11.258186507222888,0.2222337285196643,0.0051016906169322135,0.21223441491047718,0.23223304212885143,ok
