firm_category,period,wage_postings,ai_wage_postings,mean_log_salary_ai,mean_log_salary_non_ai,ai_role_beta,ai_role_se,lower_ci,upper_ci,status
SMEs,2018,52955,350,11.239771594473439,10.710324102800175,0.26129721783827303,0.024761049361559144,0.2127655610896171,0.309828874586929,ok
SMEs,2019,102252,595,11.169596477464545,10.676644288163208,0.2392931275596385,0.019661465205707607,0.20075665575645157,0.2778295993628254,ok
SMEs,2020,119570,603,11.116312595613717,10.658916918208819,0.2001642553747644,0.01717903550502797,0.1664933457849096,0.2338351649646192,ok
SMEs,2021,176040,888,11.158580761876454,10.715251041925715,0.17585299302562513,0.01481589636413618,0.1468138361519182,0.20489214989933205,ok
SMEs,2022,191845,1097,11.263277175947271,10.800675536225814,0.19342243437178763,0.012322297858347353,0.16927073056942682,0.21757413817414845,ok
SMEs,2023,169247,1254,11.44960271001549,10.885539986657118,0.25682066039941365,0.012237582645285686,0.23283499841465372,0.2808063223841736,ok
SMEs,2024,173951,1657,11.527278957404029,10.934244506067328,0.25959729078121324,0.010833785648764435,0.23836307090963496,0.28083151065279155,ok
SMEs,2025,186239,3075,11.600917422836869,10.958226580672475,0.32769645062870123,0.008873411379982073,0.3103045643239364,0.3450883369334661,ok
Large firms,2018,75931,441,11.187415519206072,10.789855565945322,0.17166595066337392,0.02041693838459498,0.13164875142956778,0.21168314989718007,ok
Large firms,2019,112108,594,11.133855859654693,10.731031021214681,0.13717908791200634,0.0165156195863656,0.10480847352272976,0.1695497023012829,ok
Large firms,2020,111009,502,11.188488658541843,10.731919161575027,0.1647514149419824,0.018444631261002355,0.12859993767041777,0.200902892213547,ok
Large firms,2021,164531,1180,11.289325660033752,10.769630503631808,0.20132604594176903,0.011612652301079307,0.17856524743165358,0.22408684445188448,ok
Large firms,2022,211375,1894,11.406158022299035,10.859534021889385,0.1929421332325674,0.00932262314146242,0.17466979187530104,0.21121447458983375,ok
Large firms,2023,251039,2747,11.57580799889767,10.988203255442274,0.19946962431149254,0.008095470714312505,0.18360250171144002,0.21533674691154506,ok
Large firms,2024,263747,4033,11.691742207876043,11.05622581370895,0.22792314602669664,0.0066658235069561875,0.2148581319530625,0.24098816010033078,ok
Large firms,2025,308270,8296,11.76025825729031,11.104459519005356,0.23625003675645292,0.0047503672610527915,0.22693931692478944,0.2455607565881164,ok
S&P 500 firms,2018,8333,139,11.635566114609908,10.753958499688029,0.22202687977425306,0.03777509022778542,0.14798770292779365,0.2960660566207125,ok
S&P 500 firms,2019,14466,146,11.556443106849615,10.731828831261263,0.19726854589197335,0.031193165465082582,0.13612994158041147,0.2584071502035352,ok
S&P 500 firms,2020,25847,112,11.431490191541368,10.56179590449534,0.20914830342081644,0.03604622032268855,0.1384977115883469,0.279798895253286,ok
S&P 500 firms,2021,32732,475,11.652844737016515,10.775178536810325,0.1746561551135571,0.018208092717443114,0.1389682933873686,0.21034401683974557,ok
S&P 500 firms,2022,37638,1011,11.775906570035056,11.050594605880649,0.1975859407492249,0.012468289625156344,0.17314809308391846,0.22202378841453133,ok
S&P 500 firms,2023,47567,1683,11.927329954871274,11.211449455011696,0.21334308651220346,0.009441875063139177,0.19483701138845066,0.23184916163595626,ok
S&P 500 firms,2024,63657,3174,12.008938007876889,11.217834509539987,0.19584860570263596,0.006933977858690545,0.1822580090996025,0.20943920230566943,ok
S&P 500 firms,2025,78737,5716,12.043087280613454,11.258476213508796,0.22244414993686096,0.005013417911076612,0.2126178508311508,0.2322704490425711,ok
