QUARTER,wage_postings,ai_wage_postings,ai_role_beta,ai_role_se,lower_ci,upper_ci,status
2018Q1,19220,124,0.1013825270056582,0.038031385185696896,0.026841012041692286,0.1759240419696241,ok
2018Q2,41661,250,0.21751287633156188,0.027680583561655567,0.16325893255071697,0.27176682011240677,ok
2018Q3,48319,294,0.26043492573627963,0.026616675280130748,0.20826624218722337,0.3126036092853359,ok
2018Q4,58507,427,0.3085685043590652,0.021788780648017793,0.2658624942889503,0.35127451442918006,ok
2019Q1,67732,440,0.24132468074569066,0.020491398407429987,0.2011615398671279,0.28148782162425345,ok
2019Q2,70641,463,0.2130968399837222,0.020202587435136452,0.17349976861085475,0.25269391135658964,ok
2019Q3,65272,316,0.18639751143107033,0.027042230379336032,0.13339473988757172,0.23940028297456895,ok
2019Q4,67061,343,0.20233326481911063,0.02429280596591314,0.15471936512592088,0.24994716451230037,ok
2020Q1,70830,338,0.18093999882253828,0.02237455815658712,0.1370858648356275,0.22479413280944904,ok
2020Q2,66676,280,0.23722482948977397,0.026988801873432267,0.18432677781784673,0.2901228811617012,ok
2020Q3,90110,405,0.23161648916261135,0.021919442373323734,0.18865438211089683,0.2745785962143259,ok
2020Q4,79321,354,0.1750225251580689,0.023151625916216827,0.12964533836228392,0.22039971195385388,ok
2021Q1,95973,515,0.18776052599735893,0.017760836711122295,0.15294928604355923,0.22257176595115863,ok
2021Q2,120234,666,0.17919056532741715,0.016261683859592153,0.14731766496261653,0.21106346569221776,ok
2021Q3,109875,762,0.23329701675714162,0.015899399873211702,0.2021341930056467,0.2644598405086366,ok
2021Q4,112929,775,0.19056112726611737,0.014948627973294071,0.161261816438461,0.21986043809377376,ok
2022Q1,128709,895,0.16801159473689936,0.01351906725649025,0.14151422291417848,0.19450896655962024,ok
2022Q2,132749,1175,0.22751663473294914,0.012051281350740224,0.2038961232854983,0.25113714618039995,ok
2022Q3,141247,1201,0.2340241539927394,0.012117124160685168,0.21027459063779647,0.25777371734768234,ok
2022Q4,133466,1163,0.22069431402557269,0.011615194882716489,0.19792853205544836,0.243460095995697,ok
2023Q1,145181,1526,0.23152311673239115,0.010157349153632705,0.21161471239127105,0.25143152107351124,ok
2023Q2,139121,1556,0.24009630412861507,0.010759403584058235,0.21900787310386094,0.2611847351533692,ok
2023Q3,136300,1489,0.25045990597013523,0.010936892686409912,0.22902359630477181,0.27189621563549865,ok
2023Q4,120752,1490,0.24380285256595746,0.011830942453312412,0.22061420535746512,0.2669914997744498,ok
2024Q1,138775,1740,0.24780453008083972,0.00974078053518083,0.2287126002318853,0.26689645992979416,ok
2024Q2,140110,2046,0.2621367152875578,0.00958677281518567,0.24334664056979385,0.28092679000532167,ok
2024Q3,160334,2668,0.2720548709003149,0.008281782597930531,0.255822577008371,0.28828716479225874,ok
2024Q4,144950,2907,0.25376384952638653,0.00818639737816998,0.23771851066517338,0.2698091883875997,ok
2025Q1,156732,3306,0.2855602285340381,0.007646279785806309,0.27057352015385777,0.30054693691421847,ok
2025Q2,165846,4130,0.2677372244356382,0.006973303650213278,0.25406954928122016,0.2814048995900562,ok
2025Q3,184368,5036,0.30082257697335446,0.006383638371207208,0.28831064576578835,0.31333450818092057,ok
2025Q4,162251,5641,0.282255717711242,0.006003366400223619,0.2704891195668037,0.29402231585568034,ok
