firm_category,benefit,benefit_label,status,ai_role_coef,ai_role_se,ai_role_pvalue,lower_ci,upper_ci,nobs,pseudo_r2,converged,specification
SMEs,EDU_ASSISTANCE,Tuition Assistance,ok,-0.10258272528788474,0.03965601986512475,0.009686802257873692,-0.18030852422352925,-0.02485692635224024,1183242,0.07447246477581715,True,year_naics3_state_education_experience_salary
SMEs,PAID LEAVE,Paid Leave,ok,-0.05024757532163166,0.02108426707710783,0.017163862146072066,-0.09157273879276301,-0.008922411850500314,1183242,0.0667764434819339,True,year_naics3_state_education_experience_salary
SMEs,HEALTH_WELLBEING,Health and Wellbeing,ok,0.20896708412921103,0.04161701872161726,5.13515219834992e-07,0.1273977274348412,0.2905364408235809,1183242,0.028982973805566026,True,year_naics3_state_education_experience_salary
SMEs,PARENTAL_LEAVE,Parental Leave,ok,0.5950337248429873,0.0313564894252091,2.672240316853708e-80,0.5335750055695775,0.6564924441163972,1130277,0.06857049215428468,True,year_naics3_state_education_experience_salary
SMEs,CULTURE,Inclusive Workplace,ok,0.48638068630043857,0.028908230835181962,1.6008952315935035e-63,0.4297205538634819,0.5430408187373952,1183242,0.09017037691422825,True,year_naics3_state_education_experience_salary
SMEs,REMOTE_KW,Remote Work,ok,0.4926229133705648,0.02527906466148097,1.4047353399155624e-84,0.4430759466340621,0.5421698801070675,1183242,0.12628294840842802,True,year_naics3_state_education_experience_salary
Large firms,EDU_ASSISTANCE,Tuition Assistance,ok,0.028079224107498944,0.020537984013870494,0.1715673191627317,-0.012175224559687222,0.0683336727746851,1521298,0.06502748228755817,True,year_naics3_state_education_experience_salary
Large firms,PAID LEAVE,Paid Leave,ok,0.08553008299214199,0.014989369238623242,1.1562837826371656e-08,0.05615091928444044,0.11490924669984354,1521298,0.06735883345695137,True,year_naics3_state_education_experience_salary
Large firms,HEALTH_WELLBEING,Health and Wellbeing,ok,0.09758646694566517,0.023194806118689543,2.5849126039746422e-05,0.05212464695303366,0.1430482869382967,1521298,0.05387994501663085,False,year_naics3_state_education_experience_salary
Large firms,PARENTAL_LEAVE,Parental Leave,ok,0.08963809993262165,0.020257788483733722,9.649994881669842e-06,0.04993283450450355,0.12934336536073973,1445262,0.12126137211357257,True,year_naics3_state_education_experience_salary
Large firms,CULTURE,Inclusive Workplace,ok,0.17366975173537946,0.017190200227416796,5.3667997571243845e-24,0.13997695928964254,0.20736254418111638,1521298,0.09757494040454207,True,year_naics3_state_education_experience_salary
Large firms,REMOTE_KW,Remote Work,ok,0.2608299470689339,0.017630504243432755,1.5957175272920273e-49,0.22627415875180573,0.2953857353860621,1521298,0.1941002593341441,True,year_naics3_state_education_experience_salary
S&P 500 firms,EDU_ASSISTANCE,Tuition Assistance,ok,-0.12215237980709683,0.03150672812014809,0.00010574139718204103,-0.18390556692258708,-0.06039919269160657,314554,0.2098930750883884,True,year_naics3_state_education_experience_salary
S&P 500 firms,PAID LEAVE,Paid Leave,ok,-0.48710167317153785,0.022299641276291634,8.966766331344621e-106,-0.5308089700730695,-0.4433943762700063,314554,0.1591080653591923,True,year_naics3_state_education_experience_salary
S&P 500 firms,HEALTH_WELLBEING,Health and Wellbeing,ok,-0.39863217879668217,0.03343289916818299,8.94378312481396e-33,-0.4641606611663208,-0.3331036964270435,314554,0.24268122209967635,True,year_naics3_state_education_experience_salary
S&P 500 firms,PARENTAL_LEAVE,Parental Leave,ok,-0.04491299172382776,0.026705872538757197,0.09261449081075504,-0.09725650189979188,0.007430518452136346,306214,0.2811836076305717,True,year_naics3_state_education_experience_salary
S&P 500 firms,CULTURE,Inclusive Workplace,ok,0.2609356129970019,0.020969578250205408,1.5164733417400395e-35,0.21983523962659932,0.30203598636740453,314554,0.1775775366406941,True,year_naics3_state_education_experience_salary
S&P 500 firms,REMOTE_KW,Remote Work,ok,-0.06471336690173325,0.025153856507249113,0.010090816747231812,-0.11401492565594151,-0.015411808147524991,314554,0.2856684704302115,True,year_naics3_state_education_experience_salary
