industry,year,benefit,perk_airole_beta,perk_se,perk_pvalue,n_obs
Accommodation and Food Services,2018,PAID LEAVE,0.2244625920101597,0.32751616639224307,0.49312426745967064,62317
Accommodation and Food Services,2018,CULTURE,-2.233962572362014,1.0085986763028882,0.026765747187481842,62317
Accommodation and Food Services,2018,REMOTE_KW,0.13105086718848463,0.7471544897242673,0.8607653724588538,62317
Accommodation and Food Services,2019,EDU_ASSISTANCE,-1.5005085999789147,1.011993923348188,0.13814751327469096,68138
Accommodation and Food Services,2019,PAID LEAVE,0.006446888813815053,0.3044025989206478,0.9831030071593512,68138
Accommodation and Food Services,2019,HEALTH_WELLBEING,-0.3291849874857791,0.5251145442591906,0.5307364226287066,68138
Accommodation and Food Services,2019,PARENTAL_LEAVE,1.3093986541921971,0.6093168056839111,0.03163741327447934,68138
Accommodation and Food Services,2019,CULTURE,0.07879830618299867,0.3575667165811668,0.8255801135568913,68138
Accommodation and Food Services,2019,REMOTE_KW,-0.08871550569852726,0.7403520662979534,0.9046187607780847,68138
Accommodation and Food Services,2020,EDU_ASSISTANCE,-1.0938172145042644,0.7370067798436559,0.1377732329192326,61871
Accommodation and Food Services,2020,PAID LEAVE,-0.1096210625572182,0.2992024512105631,0.7140833655994037,61871
Accommodation and Food Services,2020,HEALTH_WELLBEING,-0.5584446768130585,0.7219514879291714,0.43921407276276836,61871
Accommodation and Food Services,2020,CULTURE,0.47962639665770423,0.3619755907993012,0.18516314414594115,61871
Accommodation and Food Services,2020,REMOTE_KW,0.8314710955214623,0.44620799785207815,0.06240376917113933,61871
Accommodation and Food Services,2021,EDU_ASSISTANCE,-0.4916984922891741,0.42720840008551636,0.24974993215117547,91994
Accommodation and Food Services,2021,PAID LEAVE,0.12759255962646232,0.19620319701993794,0.5154931227549455,91994
Accommodation and Food Services,2021,HEALTH_WELLBEING,0.27736187931333917,0.3208700876532225,0.3873651541540841,91994
Accommodation and Food Services,2021,PARENTAL_LEAVE,1.7377496736286768,0.2627705341164281,3.7614254977116824e-11,91994
Accommodation and Food Services,2021,CULTURE,0.6834753250559461,0.2669002520474184,0.010443465481649638,91994
Accommodation and Food Services,2021,REMOTE_KW,1.1626353532448956,0.27366728402296,2.153474377479881e-05,91994
Accommodation and Food Services,2022,EDU_ASSISTANCE,-0.7299894305120636,0.3426482421297652,0.03313580761177348,103222
Accommodation and Food Services,2022,PAID LEAVE,0.2955562288928372,0.13794245983632883,0.03214481492809332,103222
Accommodation and Food Services,2022,PARENTAL_LEAVE,1.718526078292895,0.18084274489931876,2.0417306109484605e-21,103222
Accommodation and Food Services,2022,CULTURE,-0.32032018108784355,0.26298567676185314,0.22321873211125265,103222
Accommodation and Food Services,2022,REMOTE_KW,1.3222497351247653,0.17062345261558173,9.22410771299038e-15,103222
Accommodation and Food Services,2023,EDU_ASSISTANCE,-0.3187261967358798,0.3306744743650271,0.33511263600723273,89670
