QUARTER,wage_postings,ai_wage_postings,ai_role_beta,ai_role_se,lower_ci,upper_ci,status
2018Q1,193,1,,,,,suppressed_sparse_ai_wage_postings
2018Q2,380,2,,,,,suppressed_sparse_ai_wage_postings
2018Q3,449,4,,,,,suppressed_sparse_ai_wage_postings
2018Q4,596,7,,,,,suppressed_sparse_ai_wage_postings
2019Q1,697,3,,,,,suppressed_sparse_ai_wage_postings
2019Q2,752,4,,,,,suppressed_sparse_ai_wage_postings
2019Q3,673,3,,,,,suppressed_sparse_ai_wage_postings
2019Q4,675,2,,,,,suppressed_sparse_ai_wage_postings
2020Q1,760,3,,,,,suppressed_sparse_ai_wage_postings
2020Q2,622,4,,,,,suppressed_sparse_ai_wage_postings
2020Q3,931,5,,,,,suppressed_sparse_ai_wage_postings
2020Q4,848,3,,,,,suppressed_sparse_ai_wage_postings
2021Q1,953,6,,,,,suppressed_sparse_ai_wage_postings
2021Q2,1235,5,,,,,suppressed_sparse_ai_wage_postings
2021Q3,1114,6,,,,,suppressed_sparse_ai_wage_postings
2021Q4,1084,4,,,,,suppressed_sparse_ai_wage_postings
2022Q1,1288,5,,,,,suppressed_sparse_ai_wage_postings
2022Q2,1319,19,0.14306082298782086,0.10382951599260339,-0.060445028357681785,0.3465666743333235,ok
2022Q3,1417,21,0.3966429978910067,0.09757957140398996,0.2053870379391864,0.5878989578428271,ok
2022Q4,1327,5,,,,,suppressed_sparse_ai_wage_postings
2023Q1,1449,16,0.35484665191243403,0.09340518533053066,0.17177248866459394,0.5379208151602741,ok
2023Q2,1424,18,0.12652187429270212,0.08714130440289662,-0.04427508233697525,0.2973188309223795,ok
2023Q3,1396,14,0.18597982453862816,0.1296862478663454,-0.06820522127940881,0.4401648703566651,ok
2023Q4,1214,21,0.23607006543581632,0.10751552357206187,0.02533963923457505,0.4468004916370576,ok
2024Q1,1343,24,0.21927300243896908,0.09122747459691864,0.04046715222900854,0.3980788526489296,ok
2024Q2,1418,25,0.36193784690830166,0.09949918242781518,0.16691944934978392,0.5569562444668195,ok
2024Q3,1567,31,0.3089194767437282,0.08481410345299095,0.14268383397586595,0.4751551195115905,ok
2024Q4,1460,25,0.14583825691938423,0.11049293738316157,-0.07072790035161244,0.36240441419038094,ok
2025Q1,1489,27,0.15229871031673814,0.09096020554258727,-0.0259832925467329,0.3305807131802092,ok
2025Q2,1690,40,0.3118186885132459,0.06816865386625498,0.17820812693538615,0.4454292500911057,ok
2025Q3,1896,54,0.2436627218416923,0.056584567201532106,0.13275697012668936,0.35456847355669524,ok
2025Q4,1586,64,0.30630168251258905,0.055940080255445016,0.1966591252119168,0.4159442398132613,ok
