sample,period,perk,perk_label,status,detail,nobs,ai_wage_postings,beta1_ai_role,beta1_se,beta1_pvalue,beta2_perk,beta2_se,beta2_pvalue,beta3_interaction,beta3_se,beta3_pvalue,beta3_lower_ci,beta3_upper_ci,r_squared
Full sample,Pooled 2018-2025,EDU_ASSISTANCE,Tuition Assistance,ok,,35245,471,0.2670697919454902,0.02219247135522646,2.3475213244264083e-33,0.021419264746658465,0.00645377639936989,0.0009038149939740331,-0.014955134905551892,0.05065254844235751,0.7678033617162979,-0.11423412985257261,0.08432386004146883,0.44469089360975556
Full sample,Pooled 2018-2025,PAID LEAVE,Paid Leave,ok,,35245,471,0.25108036066591244,0.027365721298032178,4.515947176135047e-20,-0.010328514926412624,0.004508224983836286,0.021961213706369487,0.033099402304116066,0.03930890833184869,0.3997694209588952,-0.04394605802630737,0.1101448626345395,0.4446368433758192
Full sample,Pooled 2018-2025,HEALTH_WELLBEING,Health and Wellbeing,ok,,35245,471,0.27275297435204543,0.021352911152579625,2.3033266710579167e-37,0.020751571623811055,0.008003269568471492,0.009517410479804396,-0.08036134397214179,0.06284252088106754,0.20097686421443617,-0.20353268489903414,0.04280999695475059,0.44464896239235774
Full sample,Pooled 2018-2025,PARENTAL_LEAVE,Parental Leave,ok,,35245,471,0.248538464854371,0.022901449101527267,1.9399876664371706e-27,0.07010528123323939,0.009035769858962704,8.584526205380952e-15,0.06353871435342831,0.044323062424441444,0.15170466220535134,-0.023334487998476913,0.15041191670533355,0.4455560763255183
Full sample,Pooled 2018-2025,CULTURE,Workplace Culture,ok,,35245,471,0.25021894504988307,0.023122108850466328,2.718932030003789e-27,0.058581918627069726,0.007562509559441712,9.456445500930063e-15,0.045103337169777435,0.044837956172168125,0.31445469520456826,-0.04277905692767209,0.13298573126722696,0.44556964606908156
Full sample,Pooled 2018-2025,REMOTE_KW,Remote Work,ok,,35245,471,0.2924224401978567,0.022465443764362162,9.853020514138947e-39,0.16279824550165606,0.008974501461809777,1.5378497831743673e-73,-0.1595098205186598,0.04820478612401284,0.0009362856594494634,-0.253991201321725,-0.06502843971559463,0.4504873303518525
Full sample,2018,EDU_ASSISTANCE,Tuition Assistance,skipped_sparse_interaction_cells,,1618,14,,,,,,,,,,,,
Full sample,2018,PAID LEAVE,Paid Leave,ok,,1618,14,0.24684347990390498,0.15691338072117716,0.11569117869750882,0.00077819673298124,0.030325018262761953,0.9795270356776768,-0.0975509676029942,0.33325966483591996,0.7697380198194713,-0.7507399106813973,0.5556379754754089,0.3731513909610489
Full sample,2018,HEALTH_WELLBEING,Health and Wellbeing,skipped_sparse_interaction_cells,,1618,14,,,,,,,,,,,,
Full sample,2018,PARENTAL_LEAVE,Parental Leave,skipped_sparse_interaction_cells,,1618,14,,,,,,,,,,,,
Full sample,2018,CULTURE,Workplace Culture,skipped_sparse_interaction_cells,,1618,14,,,,,,,,,,,,
Full sample,2018,REMOTE_KW,Remote Work,skipped_sparse_interaction_cells,,1618,14,,,,,,,,,,,,
Full sample,2019,EDU_ASSISTANCE,Tuition Assistance,skipped_sparse_interaction_cells,,2797,12,,,,,,,,,,,,
Full sample,2019,PAID LEAVE,Paid Leave,ok,,2797,12,0.11973442053433386,0.14108296741590098,0.3960588740081926,-0.007377817788735946,0.019378338707945243,0.7034073244662291,-0.060035144163727905,0.22986428131802014,0.7939564140686806,-0.5105691355470474,0.39049884721959155,0.36003025849155224
Full sample,2019,HEALTH_WELLBEING,Health and Wellbeing,skipped_sparse_interaction_cells,,2797,12,,,,,,,,,,,,
Full sample,2019,PARENTAL_LEAVE,Parental Leave,skipped_sparse_interaction_cells,,2797,12,,,,,,,,,,,,
Full sample,2019,CULTURE,Workplace Culture,skipped_sparse_interaction_cells,,2797,12,,,,,,,,,,,,
Full sample,2019,REMOTE_KW,Remote Work,skipped_sparse_interaction_cells,,2797,12,,,,,,,,,,,,
Full sample,2020,EDU_ASSISTANCE,Tuition Assistance,skipped_sparse_interaction_cells,,3161,15,,,,,,,,,,,,
Full sample,2020,PAID LEAVE,Paid Leave,ok,,3161,15,0.15512273424148104,0.13190923636077492,0.2396025335944869,-0.030871058729022266,0.0149691796638382,0.03917842342516785,-0.1417761871841834,0.27793209158725407,0.609973774784448,-0.6865230866952013,0.40297071232683457,0.3481474850171913
Full sample,2020,HEALTH_WELLBEING,Health and Wellbeing,skipped_sparse_interaction_cells,,3161,15,,,,,,,,,,,,
Full sample,2020,PARENTAL_LEAVE,Parental Leave,skipped_sparse_interaction_cells,,3161,15,,,,,,,,,,,,
Full sample,2020,CULTURE,Workplace Culture,skipped_sparse_interaction_cells,,3161,15,,,,,,,,,,,,
Full sample,2020,REMOTE_KW,Remote Work,ok,,3161,15,0.22340523158389236,0.10016011048856366,0.025715522029708764,0.23911127920205533,0.033348205232215135,7.492145570005083e-13,-0.5162463016292111,0.34907895054088517,0.1391720654329604,-1.200441044689346,0.1679484414309238,0.3622812647581215
Full sample,2021,EDU_ASSISTANCE,Tuition Assistance,ok,,4386,21,0.21357445422100674,0.11407952426045044,0.06118528092196451,0.04643200821579102,0.020579307847019303,0.02405514643440155,-0.46718222334476733,0.208996883410143,0.02539405347644701,-0.8768161148286475,-0.05754833186088709,0.3786028147122319
Full sample,2021,PAID LEAVE,Paid Leave,ok,,4386,21,0.27476283229464377,0.1291724646556924,0.03341172208364458,0.0050926758420148655,0.012144564326648639,0.6749692173419911,-0.4343958313607361,0.1765693151877511,0.013885960502905522,-0.7804716891287282,-0.08831997359274396,0.37826190984729846
Full sample,2021,HEALTH_WELLBEING,Health and Wellbeing,skipped_sparse_interaction_cells,,4386,21,,,,,,,,,,,,
Full sample,2021,PARENTAL_LEAVE,Parental Leave,skipped_sparse_interaction_cells,,4386,21,,,,,,,,,,,,
Full sample,2021,CULTURE,Workplace Culture,ok,,4386,21,0.16335802450939085,0.11011401851076344,0.13793226653235213,0.045965377908910976,0.025102425163064764,0.06708367342941977,-0.2688523308910993,0.30244276612558063,0.37403735537720906,-0.8616401524972374,0.3239354907150388,0.378052040747058
Full sample,2021,REMOTE_KW,Remote Work,ok,,4386,21,0.2511697899762963,0.11907259324647296,0.03491147337117404,0.22737197787269708,0.02771076176511225,2.302325472643716e-16,-0.5847655812033099,0.21639076459102796,0.006884933045198247,-1.0088914798017248,-0.16063968260489508,0.3909325324609305
Full sample,2022,EDU_ASSISTANCE,Tuition Assistance,ok,,5351,50,0.25197054349151454,0.06145061882986331,4.1248228358042486e-05,0.002513388137814071,0.017191826471923362,0.8837661179076148,-0.031237985393900214,0.19834818835236398,0.8748581750331259,-0.4200004345645336,0.3575244637767332,0.406215407969571
Full sample,2022,PAID LEAVE,Paid Leave,ok,,5351,50,0.265894451907041,0.08115849628506555,0.0010520031687559443,-0.027677716148740816,0.011234319836303495,0.013752063401025985,-0.04032953803312078,0.11354309613434743,0.7224461624674556,-0.26287400645644177,0.18221493039020017,0.4069048344254024
Full sample,2022,HEALTH_WELLBEING,Health and Wellbeing,ok,,5351,50,0.2577910980560356,0.061860812195528546,3.0826074169691845e-05,0.00895648821538228,0.023887030363196032,0.7076962146741206,-0.14083426809873445,0.08610436337812745,0.10191853566659119,-0.30959882031986424,0.027930284122395344,0.4062596657549711
Full sample,2022,PARENTAL_LEAVE,Parental Leave,ok,,5351,50,0.23867058383740736,0.06353897646252099,0.0001724534300356542,0.06222290028701323,0.027911943218665764,0.025796796862048183,0.04359676926439926,0.15656404872979116,0.7806595398555483,-0.2632687662459914,0.3504623047747899,0.4068476255316774
Full sample,2022,CULTURE,Workplace Culture,ok,,5351,50,0.2495570070931656,0.06739497210233271,0.0002131468591300298,0.030790018758374227,0.019877720761548864,0.12138862197553632,-0.0065289198128279935,0.1295483787865131,0.9598055953949344,-0.26044374223439365,0.24738590260873766,0.40649949528183993
Full sample,2022,REMOTE_KW,Remote Work,ok,,5351,50,0.19552371608418884,0.06958660086156827,0.004957387723689208,0.1639517846481775,0.023052237307987306,1.1421971564181975e-12,0.06018156892555471,0.11917081665598006,0.6135570294584058,-0.1733932317201662,0.2937563695712756,0.4136788155225254
Full sample,2023,EDU_ASSISTANCE,Tuition Assistance,ok,,5483,69,0.28688184357196844,0.05542614288683087,2.267783063050673e-07,-0.005419321885366382,0.015510643340599492,0.7267937227013711,-0.26088869246787727,0.12066766937027168,0.0306148602651251,-0.49739732443360973,-0.02438006050214478,0.4397394583832237
Full sample,2023,PAID LEAVE,Paid Leave,ok,,5483,69,0.2000973221435839,0.07740355010655274,0.009734563361049857,-0.012873918107492416,0.011441326782726344,0.2604992124119676,0.09960458371104797,0.09946409167445604,0.3166274281595022,-0.09534503597088587,0.2945542033929818,0.4395688296475617
Full sample,2023,HEALTH_WELLBEING,Health and Wellbeing,ok,,5483,69,0.2587315892640264,0.05281162414196428,9.625658747333603e-07,0.014438348706703616,0.02067537296112114,0.4849673489304802,-0.14670873875060653,0.20058829532043784,0.46453955470894515,-0.5398617975786647,0.24644432007745165,0.439450692124426
Full sample,2023,PARENTAL_LEAVE,Parental Leave,ok,,5483,69,0.2548644757393874,0.0585637862120532,1.3495509812736893e-05,0.0965193974828828,0.02366021759815463,4.515286056115097e-05,-0.0719439586874342,0.1055154592407676,0.49534433582388193,-0.2787542587993387,0.13486634142447032,0.44133094048231747
Full sample,2023,CULTURE,Workplace Culture,ok,,5483,69,0.24045524307927768,0.05798371443725347,3.3694176211584827e-05,0.07145988450253768,0.01821515743194558,8.741683806833343e-05,0.02595560016041809,0.11745399676195095,0.8251039223666293,-0.20425423349300578,0.25616543381384194,0.44117513084735416
Full sample,2023,REMOTE_KW,Remote Work,ok,,5483,69,0.2878624265805154,0.057910814153058245,6.668105410583988e-07,0.14788588770641373,0.022595855337287914,5.95656444428833e-11,-0.20492536996377286,0.11450118963110037,0.07349851292434302,-0.42934770164072955,0.019496961713183852,0.4444263524540151
Full sample,2024,EDU_ASSISTANCE,Tuition Assistance,ok,,5788,105,0.2435807199446497,0.05077144067881408,1.6058347441799553e-06,0.0332276947175803,0.0148312135809506,0.02506564937148166,0.11040035464514797,0.10134525186802301,0.2759999867859353,-0.08823633901617714,0.30903704830647305,0.4749583812576198
Full sample,2024,PAID LEAVE,Paid Leave,ok,,5788,105,0.206197471829474,0.0680537776495699,0.002446188826611898,-0.007939766197550949,0.010828260375374288,0.4634091027222822,0.11365905485583838,0.08828239876657558,0.1979379576854985,-0.05937444672664974,0.2866925564383265,0.47463718334405736
Full sample,2024,HEALTH_WELLBEING,Health and Wellbeing,ok,,5788,105,0.23672753039095473,0.05156823657041329,4.420400232156609e-06,0.027875070426012782,0.01700145640818637,0.10109469628252096,0.1525636710433178,0.09047781829779476,0.09175733960418511,-0.02477285282035993,0.3299001949069955,0.4748239283554332
