sample,period,perk,perk_label,status,detail,nobs,ai_wage_postings,beta1_ai_role,beta1_se,beta1_pvalue,beta2_perk,beta2_se,beta2_pvalue,beta_perk_for_ai_role,beta_perk_for_ai_role_se,beta_perk_for_ai_role_lower_ci,beta_perk_for_ai_role_upper_ci,beta3_interaction,beta3_se,beta3_pvalue,beta3_lower_ci,beta3_upper_ci,beta_ai_role_with_perk,beta_ai_role_with_perk_se,beta_ai_role_with_perk_lower_ci,beta_ai_role_with_perk_upper_ci,r_squared
Full sample,Pooled 2018-2025,EDU_ASSISTANCE,Tuition Assistance,ok,,3515252,44721,0.27439636943694173,0.0022231324684924194,0.0,0.02716120381126444,0.0006558156915984428,0.0,-0.009395581766749296,0.005576012160146387,-0.020324565600636214,0.0015334020671376215,-0.036556785578013735,0.0056109664111427555,7.257414962678967e-11,-0.04755427974385354,-0.025559291412173935,0.237839583858928,0.005185631870648907,0.22767574539245614,0.24800342232539987,0.4455941547285076
Full sample,Pooled 2018-2025,PAID LEAVE,Paid Leave,ok,,3515252,44721,0.27656712089136015,0.0026595979138658286,0.0,-0.011768027187440798,0.0004504334531025972,1.8468504370072478e-150,-0.030077145803635484,0.004068437793034054,-0.03805128387798223,-0.02210300772928874,-0.018309118616194685,0.00409065452202404,7.611116647159968e-06,-0.026326801479361804,-0.010291435753027565,0.2582580022751655,0.003167253521313209,0.2520501853733916,0.2644658191769394,0.44548644773839796
Full sample,Pooled 2018-2025,HEALTH_WELLBEING,Health and Wellbeing,ok,,3515252,44721,0.26921856091545693,0.0021726671290569167,0.0,0.026527488991110352,0.0008258925777208026,2.3345626478837966e-226,0.031081735034895933,0.006501570663091889,0.01833865653523583,0.043824813534556036,0.0045542460437855824,0.006550061284637061,0.4868684207739813,-0.008283874074103057,0.017392366161674222,0.2737728069592425,0.0062093064234786345,0.26160256636922435,0.28594304754926064,0.4455147859163804
Full sample,Pooled 2018-2025,PARENTAL_LEAVE,Parental Leave,ok,,3515252,44721,0.26489884633622945,0.0022486448194521578,0.0,0.0666197021451113,0.0008764668755503497,0.0,0.08332775638822738,0.005273948466911697,0.07299081739308046,0.09366469538337431,0.016708054243116083,0.005341550527421583,0.0017603558773423755,0.006238615209369781,0.027177493276862384,0.28160690057934556,0.004882041659543586,0.27203809892664016,0.29117570223205097,0.4462417431027391
Full sample,Pooled 2018-2025,CULTURE,Workplace Culture,ok,,3515252,44721,0.25843466427983386,0.002393584963078745,0.0,0.058984644005195784,0.0007544612814817731,0.0,0.08547967779160869,0.004432981875306681,0.07679103331600759,0.09416832226720978,0.0264950337864129,0.004492324037715968,3.682782228245111e-09,0.017690078672489604,0.0352999889003362,0.28492969806624674,0.003849655803961386,0.27738437269048244,0.29247502344201104,0.44638258220158533
Full sample,Pooled 2018-2025,REMOTE_KW,Remote Work,ok,,3515252,44721,0.29208492361019056,0.002345286210827704,0.0,0.16447776569907008,0.0008919170798614121,0.0,0.02441840060008324,0.004618339074572355,0.015366456013921424,0.03347034518624506,-0.14005936509898684,0.004697750186480343,2.5621094763781197e-195,-0.14926695546448832,-0.13085177473348536,0.15202555851120372,0.00410775564544365,0.14397435744613418,0.16007675957627326,0.45150525497342964
Full sample,Through 2022,EDU_ASSISTANCE,Tuition Assistance,ok,,1720532,11186,0.2186962990527149,0.00420903413589207,0.0,0.026364668189170125,0.001061793322021527,4.219427110074554e-136,0.00332957048514523,0.013541563642995347,-0.02321189425512565,0.02987103522541611,-0.023035097704024895,0.013579197028135313,0.08981924281719518,-0.04965032387917011,0.0035801284711203182,0.19566120134869,0.012930790980729202,0.17031685102646077,0.22100555167091923,0.3598135042072921
Full sample,Through 2022,PAID LEAVE,Paid Leave,ok,,1720532,11186,0.23155604633079396,0.004894808504731902,0.0,-0.013527558348566181,0.0006543577469389803,6.058845971643799e-95,-0.06082159981505471,0.008425229318284535,-0.0773350492788924,-0.04430815035121702,-0.04729404146648852,0.008446739625782827,2.154819598682882e-08,-0.06384965113302286,-0.030738431799954183,0.18426200486430544,0.006918608464061218,0.17070153227474547,0.19782247745386541,0.35979609337958207
Full sample,Through 2022,HEALTH_WELLBEING,Health and Wellbeing,ok,,1720532,11186,0.2169024251329121,0.00418036778590597,0.0,0.012446782724955124,0.0013707711544275036,1.0844347261884271e-19,0.007652036222302244,0.014370080728998083,-0.020513322006534,0.03581739445113849,-0.004794746502652879,0.014429156465468617,0.7396659941231181,-0.033075893174971366,0.02348640016966561,0.21210767863025923,0.013832257289130867,0.18499645434356274,0.23921890291695572,0.3596577227393678
Full sample,Through 2022,PARENTAL_LEAVE,Parental Leave,ok,,1720532,11186,0.21557941553911816,0.004161332310933235,0.0,0.04398032028741067,0.0017196645399196572,2.899404637911206e-144,0.0483958664847156,0.015675259855527385,0.017672357167881923,0.07911937580154926,0.004415546197304925,0.015765959143398543,0.7794250647630973,-0.02648573372375622,0.03531682611836607,0.21999496173642308,0.015221600162656695,0.19016062541761597,0.2498292980552302,0.359854918197396
