benefit,quartile,mean_diff_pp,median_diff_pp,n_firms
CULTURE,High-AI (>5%),0.22,-1.92,31
CULTURE,Low-AI (0–2%],10.27,-0.81,31
CULTURE,Mid-AI (2–5%],-7.25,-6.71,62
EDU_ASSISTANCE,High-AI (>5%),2.52,0.0,31
EDU_ASSISTANCE,Low-AI (0–2%],-6.93,-4.17,31
EDU_ASSISTANCE,Mid-AI (2–5%],0.07,0.0,62
HEALTH_WELLBEING,High-AI (>5%),0.52,0.0,31
HEALTH_WELLBEING,Low-AI (0–2%],-1.26,0.0,31
HEALTH_WELLBEING,Mid-AI (2–5%],2.03,0.0,62
PAID LEAVE,High-AI (>5%),3.39,0.0,31
PAID LEAVE,Low-AI (0–2%],-3.5,-4.48,31
PAID LEAVE,Mid-AI (2–5%],4.54,-3.36,62
PARENTAL_LEAVE,High-AI (>5%),3.73,0.0,31
PARENTAL_LEAVE,Low-AI (0–2%],-0.65,0.0,31
PARENTAL_LEAVE,Mid-AI (2–5%],2.05,0.0,62
REMOTE_KW,High-AI (>5%),0.06,-2.63,31
REMOTE_KW,Low-AI (0–2%],11.74,-0.5,31
REMOTE_KW,Mid-AI (2–5%],3.68,-2.53,62
